,행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,서울특별시,318,318,318,320,320,320,320,320,320,320
2,부산광역시,144,145,145,144,143,143,142,142,142,142
3,대구광역시,92,92,92,93,93,93,93,94,94,94
4,인천광역시,122,123,125,125,125,125,125,126,127,127
5,광주광역시,67,67,67,67,67,67,68,68,68,68
6,대전광역시,62,62,62,62,62,62,62,62,62,62
7,울산광역시,55,56,56,57,57,57,58,58,57,57
8,세종특별자치시,8,13,13,16,17,18,20,21,21,21
9,경기도,451,460,470,472,474,475,480,485,486,487
10,강원특별자치도,116,117,117,117,117,116,116,116,115,115
11,충청북도,84,83,83,84,84,84,84,84,82,84
12,충청남도,116,116,116,117,117,117,117,117,117,118
13,전라북도,132,133,133,133,133,133,133,133,133,133
14,전라남도,148,145,143,143,142,142,144,144,144,144
15,경상북도,191,193,192,188,187,184,185,185,185,185
16,경상남도,190,191,191,192,190,190,190,190,190,192
17,제주특별자치도,30,30,30,30,30,30,30,30,30,30
