,행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,서울특별시,383,384,384,384,385,386,387,389,390,390
2,부산광역시,171,172,172,174,174,172,170,171,170,170
3,대구광역시,124,124,125,125,125,125,124,125,125,124
4,인천광역시,133,134,134,134,134,135,136,139,142,143
5,광주광역시,88,89,90,90,90,90,91,91,92,91
6,대전광역시,88,88,88,88,88,88,88,88,89,89
7,울산광역시,62,62,63,63,63,63,64,64,64,64
8,세종특별자치시,13,17,18,22,23,24,24,26,27,27
9,경기도,604,613,619,625,627,630,638,646,653,661
10,강원특별자치도,162,162,162,164,163,162,163,163,161,160
11,충청북도,128,128,128,127,127,126,127,128,128,128
12,충청남도,186,186,186,187,187,186,184,184,185,185
13,전라북도,209,209,209,209,209,209,210,210,211,211
14,전라남도,249,250,250,249,248,248,249,250,250,250
15,경상북도,275,275,271,262,262,262,259,261,261,261
16,경상남도,267,266,265,265,264,263,264,265,265,266
17,제주특별자치도,44,45,45,45,45,45,45,45,45,45
