,행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,서울특별시,38,38,38,38,38,38,38,38,38,38
2,부산광역시,12,12,12,12,12,12,12,12,12,12
3,대구광역시,3,3,3,3,3,3,3,3,3,3
4,인천광역시,3,3,3,3,3,3,3,3,3,3
5,광주광역시,10,10,10,10,10,10,10,10,10,10
6,대전광역시,11,11,11,11,11,11,11,11,11,11
7,울산광역시,2,2,2,2,2,2,2,2,2,2
8,세종특별자치시,1,1,1,1,2,2,2,2,2,2
9,경기도,29,29,29,29,30,30,30,30,30,30
10,강원특별자치도,8,8,8,8,8,8,8,8,8,8
11,충청북도,10,10,10,10,11,11,11,11,11,11
12,충청남도,13,13,13,13,13,13,13,13,13,13
13,전라북도,9,9,9,9,8,8,8,8,8,8
14,전라남도,10,10,10,10,10,10,10,10,10,10
15,경상북도,18,18,18,18,18,18,18,18,18,18
16,경상남도,10,10,10,10,10,10,10,9,9,9
17,제주특별자치도,2,2,2,2,2,2,2,2,2,2
