district,Subway,Primary_School ,Middle_School,High_School,General_Hospital,Supermarket,Park
yongsan-gu,981,1261,140,159,1200,1400,1600
eunpyeong-gu,413,367,344,929,3000,375,2900
jonglo-gu,588,1000,382,365,430,638,188
jung-gu,514,524,139,183,1500,596,93
junglang-gu,575,733,983,857,342,237,1200
seongdong-gu,528,706,619,572,2300,1200,98
seongbug-gu,220,494,663,816,1600,655,123
songpa-gu,224,167,387,322,2300,715,167
yangcheon-gu,318,406,471,789,338,364,122
yeongdeungpo-gu,287,1017,611,438,1100,381,886
gangnam-gu,151,142,417,650,1400,950,2700
gangdong-gu,518,1712,421,506,1000,2100,1400
gangbug-gu,201,876,667,407,1700,731,1500
gangseo-gu,633,364,242,1000,1600,1500,314
gwanag-gu,522,425,557,189,1200,2100,3000
dongdaemun-gu,487,752,830,2700,436,644,398
dongjag-gu,203,522,645,2200,361,2100,143
mapo-gu,429,200,276,297,1200,1100,545
seodaemun-gu,392,364,352,277,1100,1400,16
seocho-gu,407,980,228,1700,889,560,317
gwangjin-gu,406,249,239,266,2000,907,2000
gulo-gu,567,514,173,541,1900,426,2400
geumcheon-gu,389,579,574,1300,2500,291,171
nowon-gu,147,228,650,752,316,393,1800
dobong-gu,527,0,184,465,962,498,280
