Pm_Date,Transaction_Price_index,President_support_rate,PIR_national_index,Consumer_price_index,realestate_tax_for_individual,total_numberof_transaction,mortgage_loan,Supply_demand_trend,inflow_total,outflow_total,net_movement,Subway,Primary_School,Middle_School,High_School,General_Hospital,Supermarket,Park
2013.12,85.7,54,5.1,93.229,1.0,67883,3.74,"94.53",137619,151771,-14152,981,1261,140,159,1200,1400,1600
2013.11,85.7,54,5.04,93.116,1.0,61844,3.77,"95.61",119741,131098,-11357,981,1261,140,159,1200,1400,1600
2013.10,85.7,54,5.09,93.134,1.0,65871,3.81,"95.66",133368,142141,-8773,981,1261,140,159,1200,1400,1600
2013.09,85.2,60,5.08,93.419,1.0,39801,3.82,"92.23",103009,109528,-6519,981,1261,140,159,1200,1400,1600
2013.08,84.6,60,5.09,93.238,1.0,30794,3.8,"89.56",119171,126101,-6930,981,1261,140,159,1200,1400,1600
2013.07,84.3,60,5.15,92.909,1.0,25079,3.77,"90.41",118420,127308,-8888,981,1261,140,159,1200,1400,1600
2013.06,83.7,51,5.52,92.71,1.0,94647,3.73,"92.1",115773,124523,-8750,981,1261,140,159,1200,1400,1600
2013.05,84.0,51,5.62,92.823,1.0,64538,3.77,"93.34",130619,138830,-8211,981,1261,140,159,1200,1400,1600
2013.04,83.8,51,5.65,92.823,1.0,55442,3.86,"92.34",134581,144586,-10005,981,1261,140,159,1200,1400,1600
2013.03,83.5,42,5.53,92.952,1.0,47375,3.97,"88.63",138507,146220,-7713,981,1261,140,159,1200,1400,1600
2013.02,83.1,42,5.49,93.038,1.0,34089,4.06,"87.21",150805,155528,-4723,981,1261,140,159,1200,1400,1600
2013.01,83.0,42,5.35,92.728,1.0,16968,4.17,"86.1",118477,123006,-4529,981,1261,140,159,1200,1400,1600


