district,Subway,Primary_School ,Middle_School,High_School,General_Hospital,Supermarket,Park
yongsan-gu,302,769,772,741,1900,679,1000
eunpyeong-gu,363,462,763,893,2600,803,2300
jonglo-gu,499,756,1200,1200,1000,1200,1700
jung-gu,310,1417,286,224,1800,1600,2100
junglang-gu,845,601,856,491,860,1100,2500
seongdong-gu,288,428,840,336,1900,555,216
seongbug-gu,1200,1041,1000,1100,2800,1800,897
songpa-gu,330,606,324,475,1700,1800,1800
yangcheon-gu,1300,325,733,1200,1200,2200,204
yeongdeungpo-gu,634,128,602,310,437,1000,2300
gangnam-gu,504,674,769,1300,1000,466,447
gangdong-gu,202,519,934,874,255,1000,2800
gangbug-gu,424,608,1300,2600,940,1600,2100
gangseo-gu,656,412,1400,1300,1100,1600,749
gwanag-gu,40,284,942,802,716,1400,2600
dongdaemun-gu,1000,589,396,1000,2000,1600,1800
dongjag-gu,652,1021,924,247,850,827,1900
mapo-gu,608,1010,752,693,2180,751,1300
seodaemun-gu,995,918,255,191,1400,1900,1300
seocho-gu,326,1023,368,720,1700,706,830
gwangjin-gu,318,947,567,510,2700,1900,1200
gulo-gu,436,678,707,1600,2200,1600,2800
geumcheon-gu,470,577,538,648,188,385,2400
nowon-gu,1400,229,519,486,2500,1800,886
dobong-gu,498,804,691,818,2500,1300,1700
