행정구역별,산업별,사업체구분별,항목,단위,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,계산결과,464.92,539.67,"8,247.50","7,407"
대전,제조업(10~34),계,사업체수[개],개,6506,6537,6470,6497,6618,6792,7145,7324,7667,8044,7992,8114,8220,8380,8647,18.59889874,,,,
대전,제조업(10~34),계,종사자수[명],명,44810,45462,47290,48164,51109,54711,55135,56571,58627,61558,61352,61370,61879,63480,63342,136.2427945,,,,
대전,"전기, 가스, 증기 및 공기조절 공급업(35)",계,사업체수[개],개,12,12,11,11,10,12,12,16,20,24,24,39,39,60,80,0.172072615,,,,
대전,"전기, 가스, 증기 및 공기조절 공급업(35)",계,종사자수[명],명,620,679,708,903,827,931,972,1062,1110,1222,1327,1508,1575,1851,1726,3.712466661,,,,
대전,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,사업체수[개],개,102,107,109,111,115,130,138,136,147,137,147,138,135,141,157,0.337692506,,,,
대전,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,종사자수[명],명,3054,2813,3077,3087,2428,3252,2964,3125,3135,3173,3145,3133,3205,3375,3884,8.354125441,,,,
대전,건설업(41~42),계,사업체수[개],개,2489,2589,2677,2727,2865,3126,3312,3500,3743,3882,3942,4037,4134,4240,4607,9.909231696,,,,
대전,건설업(41~42),계,종사자수[명],명,22307,20001,21951,25925,34550,31430,29537,27298,29183,35937,38542,38705,40488,44661,44817,96.39722963,,,,
대전,도매 및 소매업(45~47),계,사업체수[개],개,24613,24910,24721,24632,25665,26997,28118,28637,29949,30443,30517,30776,30718,30596,31827,68.45693883,,,,
대전,도매 및 소매업(45~47),계,종사자수[명],명,70480,73019,73304,73796,75662,78457,81613,82913,86067,89612,89082,90191,90795,92180,87113,187.372021,,,,
대전,운수 및 창고업(49~52),계,사업체수[개],개,9788,9516,10474,10551,10160,10808,11450,10672,11286,11790,11609,11905,12730,12996,13549,29.1426482,,,,
대전,운수 및 창고업(49~52),계,종사자수[명],명,23693,23373,25529,26215,30215,27817,28015,27209,28345,30650,31009,29999,35058,30414,29901,64.31429063,,,,
